titulo,descripcion,slug,imagen,categoria
Diadema Gamer tipo G35 – USB,"Diadema gamer con micrófono y sonido envolvente virtual (según fabricante). Conexión USB, ideal para PC.",audifonos-gaming-g35-diadema-usb,audifonos-gaming-g35-diadema-usb.jpg,Audio
Auriculares estilo AirPods 3 – Negro (genérico),"TWS estilo AirPods 3. Diseño liviano, conexión Bluetooth estable para uso diario.",airpods-3a-gen-negro-generico,airpods-3a-gen-negro-generico.jpg,Audio
Airdots Pro – Control táctil (Blanco),Auriculares TWS con control táctil e IPX4. Estuche compacto para carga rápida.,airdots-pro-tactil-blanco,airdots-pro-tactil-blanco.jpg,Audio
AirPods Pro (1.ª generación),In‑ear con cancelación activa de ruido y modo Transparencia. Estuche de carga inalámbrica.,apple-airpods-pro-1a-gen,apple-airpods-pro-1a-gen.jpg,Audio
Cargador USB‑C 20W – Estilo Apple (Blanco),"Adaptador de corriente USB‑C de 20 W, diseño compacto. Carga rápida compatible.",cargador-usb-c-20w-apple-blanco,cargador-usb-c-20w-apple-blanco.jpg,Cargadores
Harvic BT‑539 – TWS (Negro),"Bluetooth estéreo, 4–8 h aprox., estuche de carga ~800 mAh, micrófono integrado.",harvic-bt-539-tws-negro,harvic-bt-539-tws-negro.jpg,Audio
Harvic BT‑545 – TWS (Negro),TWS con buen enfoque en batería; estuche de carga y micrófono integrado.,harvic-bt-545-tws-negro,harvic-bt-545-tws-negro.jpg,Audio
Karmabeo F40 – TWS (Transparente),"TWS con BT 5.x, diseño transparente y control táctil.",karmabeo-f40-tws-transparente,karmabeo-f40-tws-transparente.jpg,Audio
Harvic BT‑540 – TWS (Blanco),"Bluetooth estéreo, Type‑C, 4–8 h aprox., estuche recargable, micrófono.",harvic-bt-540-tws-blanco,harvic-bt-540-tws-blanco.jpg,Audio
JBL Wave 300TWS – Negro,"TWS oficiales JBL Deep Bass (driver 12 mm), hasta 26 h, diseño open‑stick.",jbl-wave-300tws-negro,jbl-wave-300tws-negro.jpg,Audio
Redmi AirDots TWS – Tipo botón (Negro),"TWS tipo botón, Bluetooth 5.x, estuche ultracompacto.",redmi-airdots-tws-boton-negro,redmi-airdots-tws-boton-negro.jpg,Audio
AirPods (3.ª generación) – Blanco,"Ajuste cómodo, Spatial Audio, estuche de carga; batería para el día a día.",apple-airpods-3a-gen-blanco,apple-airpods-3a-gen-blanco.jpg,Audio
